STT	Mã dự án	Dự án	Kế toán	Phòng DA	Cấp QĐ đầu tư trước khi bàn giao	CĐT cũ	QĐ chuyển CĐT	Tình trạng hiện tại
								
		Tổng						
180	8095708	Nâng cấp, tu sửa cầu Tu bổ 3, xã Hương Lâm	Quân	3	H	Hương Khê	2140	5
181	7999328	Đường giao thông huyện lộ 3 (ĐH.88) đoạn qua xã Điền Mỹ, huyện Hương Khê	Quân	3	H	Hương Khê	2140	5
182	7913873	Trồng cây xanh hạ tầng kỹ thuật trên tuyến đường Hồ Chí Minh và tuyến đường QL15 đoạn qua huyện Hương Khê năm 2021	Quân	3	H	Hương Khê	2140	4
183	8158921	Đồ án Điều chỉnh QHCT Xây dựng công viên văn hóa Lý Tự Trọng, tỷ lệ 1/500	Phú	3	H	Thạch Hà	2977	5
184	1100782	Quy hoạch phân khu xây dựng Khu vực nút giao thông Quốc lộ 1 đoạn tránh thành phố Hà Tĩnh tại xã Thạch Long, huyện Thạch Hà, tỷ lệ 1/2.000	Phú	3	H	Thạch Hà	2977	5
185	7899078	Lập Quy hoạch sử dụng đất giai đoạn 2021-2030 huyện Thạch Hà	Phú	3	H	Thạch Hà	2977	5
186	8047759	Quy hoạch phân khu xây dựng khu du lịch biển huyện Lộc Hà; tỷ lệ 1/2000	Phú	3	H	Thạch Hà	2977	5
187	chưa mở mã	Củng cố, nâng cấp Đê Tả Nghèn đoạn K26-K35+700 huyện Lộc Hà, tỉnh Hà Tĩnh	Phú	3	T	Thạch Hà	3026	5
188	7799577	Nâng cấp mở rộng tuyến đường từ Thạch Kênh đến Hồng Lộc	Phú	3	T	Thạch Hà	2140	5
189	chưa mở mã	Nhà công vụ tại xã Hương Trạch	Quân	3	H	Hương Khê	3026	5
190	7213959	Cấp nước sạch Hương Khê tỉnh Hà Tĩnh	Quân	3	H	Hương Khê	3455	5
191	8120248	Dự án Nhà đa chức năng và các hạng mục phụ trợ Trường THPT Nguyễn Thị Minh Khai, huyện Đức Thọ	Huân	1	T	Đức Thọ	2140	6
192	8140327	Nhà đa năng Trường tiểu học Quang Vĩnh	Huân	1	H	Đức Thọ	2140	6
193	7003116	Đường giao thông từ Cầu Treo Chợ Bộng đến Thị trấn Vũ Quang, huyện Vũ Quang	Thuận	1	T	Vũ Quang	2140	6
194	8154171	Xây dựng nhà sinh hoạt cộng đồng kết hợp tránh lũ thôn 5 xã Ân Phú	Thuận	1	H	Vũ Quang	2140	6
195	8154170	Hạng mục phụ trợ khu xử lý rác thải của huyện	Thuận	1	H	Vũ Quang	2140	6
196	8049087	Nâng cấp đường tránh lũ Đức Lĩnh- Ân Giang- Đức Giang, huyện Vũ quang	Thuận	1	H	Vũ Quang	2140	6
197	8117230	Nhà học bộ môn 02 tầng 8 phòng và các hạng mục phụ trợ trường Tiểu học Đức Lĩnh	Thuận	1	H	Vũ Quang	2140	6
198	8121502	Xây dựng cầu Nạp Hốp Đức Liên	Thuận	1	H	Vũ Quang	2140	6
199	XHH1	Nhà đa chức năng 02 tầng 6 phòng Trường Mầm non Đức Bồng, huyện Vũ Quang	Thuận	1	H	Vũ Quang	2140	6
200	7729914	Chuẩn bị dự án hạ tầng cơ bản cho phát triển toàn diện tỉnh Hà Tĩnh	Hương Giang	1	T	Dân dụng	DDCN	6
201	8103928	Tư vấn khảo sát địa hình, lập điều chỉnh quy hoạch chung thị trấn Vũ Quang, huyện Vũ Quang đến năm 2040 và lấy ý kiến cộng đồng	Thuận	1	H	Vũ Quang	2977	6
202	7938719	Nâng cấp tuyến đường ĐH.131 Thạch Bình - Cẩm Thăng	Nam	2	H	Cẩm Xuyên	2140	6
203	7909582	Đường dọc bờ kè Sông Hội, thị trấn Cẩm Xuyên và các tuyến nhánh	Nam	2	H	Cẩm Xuyên	2140	6
204	7956306	Đường vành đai, thị trấn Cẩm Xuyên (đoạn từ QL8C-QL1A)	Nam	2	H	Cẩm Xuyên	2140	6
205	8064110	Nhà học chức năng 02 tầng Trường Mầm non Cẩm Quan	Nam	2	H	Cẩm Xuyên	2140	6
206	8062395	Nhà học bộ môn 03 tầng 9 phòng Trường THCS Cẩm Dương	Nam	2	H	Cẩm Xuyên	2140	6
207	7498862	Đường Xô Viết kéo dài thị trấn Nghèn	Hương	2	#N/A	Can Lộc	2140	6
208	8121078	Xây dựng pano quảng cáo tại đường Nguyễn Huy Tự và cải tạo hội trường lớn UBND huyện Can Lộc	Hương	2	H	Can Lộc	2140	6
209	8074220	Hệ thống cây xanh tuyến đường vào chùa Hương, xã Thiên Lộc, huyện Can Lộc (trồng bổ sung).	Hương	2	H	Can Lộc	2140	6
210	8120805	Chỉnh trang cây xanh khuôn viên UBND huyện Can Lộc.	Hương	2	H	Can Lộc	2140	6
211	8000730	Xây dựng nhà chức năng 3 tầng và nhà đa năng Trường THCS Xuân Diệu, huyện Can Lộc	Hương	2	H	Can Lộc	2140	6
212	7900747	Đường giao thông nông thôn xã mỹ Lộc	Hương	2	H	Can Lộc	2140	6
213	7371219	Sửa chữa, nâng cấp Hệ thống thuỷ lợi Bà Nái huyện Can Lộc	Hương	2	T	Can Lộc	2140	6
214	8100176	Xây dựng bể bơi và các hạng mục phụ trợ trường THCS Phan Huy Chú	Phú	3	H	Thạch Hà	2140	6
215	7603835	Hạ tầng đấu giá huyện Lộc Hà 2016	Phú	3	H	Thạch Hà	2140	6
216	8096034	Khối hành chính quản trị kết hợp phụ trợ học tập Trường THCS Chu Văn An	Quân	3	H	Hương Khê	2140	6
217	7799576	Trung tâm văn hóa truyền thông huyện Lộc Hà	Phú	3	T	Thạch Hà	2140	6
218	7331691	Trung tâm dạy nghề - hướng nghiệp và giáo dục thường xuyên huyện Lộc Hà	Phú	3	T	Thạch Hà	2140	6
219	7191688	Hồ chứa nước Khe Giao thuộc Hệ thống thủy lợi Khe Giao, huyện Thạch Hà, tỉnh Hà Tĩnh	Phú	3	T	Thạch Hà	2140	6
220	8113064	Dự án Xây dựng nhà học 3 tầng 19 phòng và các hạng mục phụ trợ Trường tiểu học Thạch Kim	Phú	3	H	Thạch Hà	2140	6
221	8111569	Dự án Xây dựng kênh tưới, tiêu úng Khe Quả, Cồn Xóc xã Thịnh Lộc, huyện Lộc Hà	Phú	3	H	Thạch Hà	2140	6
222	7892599	Xây dựng hệ thống thoát nước thải xã Thạch Kim, huyện Lộc Hà	Phú	3	H	Thạch Hà	2140	6
223	8119945	Dự án Nâng cấp mở rộng đường giao thông liên xã Thạch Châu - Thị trấn Lộc Hà, huyện Lộc Hà	Phú	3	H	Thạch Hà	2140	6
224	7908086	Xây dựng hệ thống kênh mương tưới, tiêu xã Ích Hậu	Phú	3	H	Thạch Hà	2140	6
225	7568910	Nhà máy nước và Hệ thống cấp nước sạch cho Nhân dân thị trấn Hương Khê và 8 xã vùng phụ cận thuộc huyện Hương Khê	Quân	3	T	Hương Khê	2140	6
226	7787922	Bảo tồn, nhân giống và phát triển bưởi Phúc Trạch, giai đoạn 2016-2020, huyện Hương Khê	Quân	3	T	Hương Khê	2140	6
227	8078745	Khắc phục sạt lở bờ sông Ngàn Sâu đoạn qua thôn 2 và thôn 5 xã Hà Linh	Quân	3	T	Hương Khê	2140	6
228	8078746	Khắc phục sửa chữa đập Tắt xã Hòa Hải	Quân	3	T	Hương Khê	2140	5
