STT;Mã d? án;D? án;K? toán;Phòng DA;C?p Q? ??u t? tr??c khi bàn giao;C?T c?;Q? chuy?n C?T;Tình tr?ng hi?n t?i;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;T?ng;;;;;;;;;;;;;;;;;
616;7647120;D? án ???ng tr?c chính Khu du l?ch Nam Thiên C?m,  huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;T;C?m Xuyên;3026;9;;;;;;;;;;;
617;7050846;C?i t?o, nâng c?p ???ng t?nh l? 7 ?i Chùa H??ng Tích, huy?n Can L?c;H??ng;2;T;Can L?c;3026;9;;;;;;;;;;;
618;7830641;H? th?ng thoát th?i c?m Công nghi?p B?c huy?n C?m Xuyên;Nam;2;H;C?m Xuyên;3026;9;;;;;;;;;;;
619;7955538;???ng giao thông nông thôn xã Gia Hanh, huy?n Can L?c;H??ng;2;H;Can L?c;3026;9;;;;;;;;;;;
620;7660122;DA c?i thi?n CS h? t?ng cho các xã ch?u ?nh h??ng c?a DA KT m? s?t Th?ch Khê, th?c hi?n ?? án PT b?n v?ng KT-XH các xã ch?u ?nh h??ng c?a DA KT m? s?t Th?ch Khê - G?2 (?? án 946);Phú;3;T;Th?ch Hà;2140;9;;;;;;;;;;;
621;7043186;Nâng c?p, m? r?ng ???ng T?nh l? 9 (?o?n t? c?u H? ?? ??n trung tâm huy?n L?c Hà);Phú;3;T;Th?ch Hà;2140;9;;;;;;;;;;;
622;7933908;Nâng c?p, m? r?ng ???ng n?i Qu?c l? 1 t?i ngã 3 Th?ch Long ?i ???ng t?nh ?T.549;Phú;3;T;Th?ch Hà;2140;9;;;;;;;;;;;
623;7590863;C?ng c?, nâng c?p tuy?n ?ê H?u Ph? ?o?n t? c?u C?a Sót ??n núi Nam Gi?i, huy?n Th?ch Hà;Phú;3;T;Th?ch Hà;2140;9;;;;;;;;;;;
624;7591640;???ng giao thông nông thôn kê?t h?p va?o khu ch?n nuôi t?p trung xã Phù L?u, huyê?n L?c Ha?;Phú;3;T;Th?ch Hà;2140;9;;;;;;;;;;;
625;7957789;Ch?nh trang h? th?ng cây xanh trên ??a bàn huy?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
626;7908579;L?p ??t c?m ?èn tín hi?u giao thông t?i nút giao ???ng huy?n l? 03 v?i ???ng Qu?c l? 15B t?i xã Th?ch V?n và nút giao ???ng tr?c chính xã Th?ch Long v?i QL15B;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
627;8093845;Nâng c?p, m? r?ng tuy?n ???ng t? dân ph? 14 ?o?n t? ???ng Lý Nh?t Quang ??n ???ng liên xã L?u V?nh S?n - Vi?t Ti?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
628;7572540;C?i t?o tr? s? huy?n ?oàn (Trung tâm chính tr? c?);Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
629;8123611;Ch?nh trang h? th?ng chi?u sáng, khuôn viên tr? s? Huy?n ?y, tr? s? H?ND - UBND huy?n, Công viên V?n hóa Lý T? Tr?ng;Tâm;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
630;7897753;Xây d?ng kênh tiêu úng thôn Thanh Tân xã Th?ch Châu ??n thôn Phú S?n xã Mai Ph?;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
631;8031133;Kh?i phòng b? môn 2 t?ng tr??ng Ti?u h?c Th?ch L?u;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
632;8086193;Nâng c?p sân tr??ng, nhà xe giáo viên và các h?ng m?c ph? tr? Tr??ng THCS Nguy?n Thi?p;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
633;8089590;Nâng c?p ???ng Carboncor t? thôn Hòa Bình ?i thôn Th?ng Nh?t, xã Nam ?i?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
634;8092444;C?i t?o s?a ch?a tr? làm vi?c h?i ng??i mù, H?i c?u TNXP và H?i ?ông Y châm c?u huyên Th?ch Hà.;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
635;8082379;Xây m?i c?ng, hàng rào và các h?ng m?c ph? tr? Tr??ng THCS H??ng ?i?n Nam H??ng;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
636;7908581;???ng giao thông liên xã Ng?c S?n - L?u V?nh S?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
637;7903690;Nâng c?p ???ng tr?c chính xã Th?ch V?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
638;7923797;Xây d?ng sân bóng, c?ng và hàng rào Tr??ng ti?u h?c 2 th? tr?n Th?ch Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
639;8088626;Nâng c?p sân tr??ng và h? th?ng thoát n??c Tr??ng Ti?u h?c Th?ch Ng?c;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
640;7991489;H? t?ng khuôn viên, b?p ?n bán trú và các h?ng m?c ph? tr? Tr??ng m?m non Th?ch H?i;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
641;7985900;Nhà ?a ch?c n?ng tr??ng ti?u h?c Th?ch Kênh;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
642;7985921;Nhà ?a ch?c n?ng tr??ng THCS Nguy?n Thi?p;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
643;7991492;Nhà ?a ch?c n?ng và các h?ng m?c ph? tr? tr??ng ti?u h?c Th?ch Long;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
644;7922940;Nhà HCQT và các phòng ph?c v? h?c t?p , các h?ng m?c ph? tr? tr??ng TH T??ng S?n, huy?n Th?ch Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
645;7954937;Nhà h?c 2 t?ng 10 phòng Tr??ng Ti?u h?c Lý T? Tr?ng, xã Vi?t Ti?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
646;7986994;Nhà h?c 2 t?ng 4 phòng tr??ng ti?u h?c ??nh Bàn;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
647;7980676;Nhà h?c b? môn tr??ng Ti?u h?c Th?ch Kênh;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
648;7959877;Nhà làm vi?c 2 t?ng tr?m Y t? xã L?u V?nh S?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
649;7978607;Nhà làm vi?c c? quan kh?i dân huy?n Th?ch Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
650;7980675;Xây d?ng Nhà v?n hoá c?ng ??ng – Ngôi nhà trí tu? t?i thôn Nam S?n, xã Ng?c S?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
651;8031591;Nhà h?c 02 t?ng Tr??ng ti?u h?c Th?ch S?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
652;7904967;Nhà v? sinh và các h?ng m?c ph? tr?, tr??ng THPT Nguy?n Trung Thiên;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
653;8031592;Nhà h?c b? môn tr??ng THCS Phan Huy Chú;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
654;7997597;C?i t?o, s?a ch?a nhà công v? 2 t?ng và các h?ng m?c ph? tr? Tr? s? làm vi?c H?ND - UBND huy?n Th?ch Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
655;7949361;Nâng c?p, s?a ch?a Tr?m Y t? xã Ng?c S?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
656;8031590;Nhà h?c 02 t?ng Tr??ng ti?u h?c Th?ch Liên;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
657;8027330;Nhà h?c 2 t?ng Tr??ng M?m non Th?ch Th?ng;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
658;8027331;Nhà h?c 2 t?ng Tr??ng ti?u h?c Th?ch V?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
659;8027882;H? t?ng, khuôn viên sân tr??ng và các h?ng m?c ph? tr? Tr??ng THCS ??ng Ti?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
660;8042570;Nhà so?n l? và các h?ng m?c ph? tr? Di tích L?ch s? v?n hoá qu?c gia ??n th? l?ng m? Lê Khôi;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
661;8050819;C?i t?o sân v?n ??ng huy?n Th?ch Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
662;8092683;Nang cap co so vat chat Trung Tam giao duc Nghe nghiep - Giao duc thuong xuyen Thach Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
663;8082854;Kh?i phòng sinh ho?t chung, phòng ph?c v? h?c t?p, phòng hành chính qu?n tr? và các h?ng m?c ph? tr? tr??ng m?m non Th?ch Liên;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
664;8020725;???ng giao thông liên thôn Quy?t Ti?n - Trung L?c, xã Th?ch L?c;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
665;7892597;Nâng c?p m? r?ng tuy?n ???ng t? C?u ph? 2 ?i thôn S?n trình Xã Tân Lâm H??ng, huy?n Th?ch Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
666;7978299;Nhà ?a ch?c n?ng Tr??ng Ti?u h?c Th?ch Th?ng;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
667;8022920;???ng giao thông T? dân ph? 15, th? tr?n Th?ch Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
668;8027883;???ng giao thông t? thôn V?nh Hòa ?i thôn Thanh Long, xã ??nh Bàn;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
669;8025251;???ng giao thông liên xã T??ng S?n - Th?ch L?c (LX-06) ?o?n t? Km1+00 ??n Km4+100;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
670;8050823;C?u ?ò Bang, xã Th?ch L?c;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
671;7993035;???ng giao thông t? ???ng Huy?n l? 03 ??n thôn Tr?n Phú, xã Th?ch Tr?;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
672;7994843;???ng giao thông liên thôn Trung Trinh, H??ng Giang, Tân Long, xã Vi?t Ti?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
673;7817200;Nâng c?p, m? r?ng tuy?n ???ng t? UBND xã Th?ch H?i ??n khu di tích ??n Lê Khôi;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
674;7901444;Khôi ph?c, nâng c?p c?u dân sinh Hói Tr?n thôn Tân Hòa, xã Tân Lâm H??ng, huy?n Th?ch Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
675;7986298;???ng giao thông thôn Tân H??ng, xã Th?ch Khê;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
676;7955254;???ng giao thông liên xã t? thôn B?c V?n, xã Th?ch V?n ??n thôn B?c Dinh, xã Th?ch Tr?;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
677;7919803;Nâng c?p, m? r?ng ???ng giao thông t? Qu?c l? 15B ??n khu du l?ch bi?n V?n Tr?, xã Th?ch V?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
678;8020723;Xây d?ng h? th?ng kênh m??ng xã L?u V?nh S?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
679;8020724;Nâng c?p, s?a ch?a tr?m b?m ?ò Bang và h? th?ng kênh t??i sau tr?m b?m, xã T??ng S?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
680;8068189;Nhà ?? xe và các h?ng m?c ph? tr?, tr? s? H?ND-UBND huy?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
681;8086192;S?a ch?a nâng c?p tr?m b?m ??i Tr?u và công ?i?u ti?t ??p Tr?m xã Vi?t Ti?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
682;8086198;Xây d?ng tràn ?i?u ti?t và tr?m b?m, kênh d?n x? ??ng ??p C?c, xã Th?ch Ng?c;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
683;8084058;Xây d?ng tuy?n kênh tiêu thoát l? thôn ?ông Ti?n ??n thôn L?c Ân xã L?u V?nh S?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
684;7978296;Xây d?ng tuy?n kênh t? kênh N1-19 ??n gi?ng N?ng, thôn M? Châu, xã Th?ch Ng?c;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
685;7978301;Xây d?ng tuy?n kênh t??i thôn Khe Giao và thôn Trung Tâm, xã Ng?c S?n;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
686;7978619;Kênh tiêu thoát n??c thôn Phúc Thanh, xã Th?ch khê;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
687;8079340;Tuy?n kênh tiêu thoát l? Khe Tr?a xã Tân Lâm H??ng;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
688;8076989;Xây d?ng tr?m b?m B?u N?y và h? th?ng c?p ?i?n cho tr?m b?m Bàu N?y, xã H?ng L?c;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
689;8056728;Nâng c?p, s?a ch?a kênh tiêu úng Xuân H?i, th? tr?n L?c Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
690;7918424;Kênh tiêu ?ông Liên xã Th?nh L?c và Bình An huy?n L?c Hà;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
691;8065168;???ng giao thông xã Bình An;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
692;8096969;???ng giao thông liên xã Mai Ph? - H? ??, huy?n L?c Hà (d? án thành ph?n 01);Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
693;8073714;Tr?ng m?i, b? sung, c?i t?o cây xanh t?i ??i l? B?ng S?n và ??i l? Mai H?c ?? n?m 2023;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
694;7908090;???ng giao thông t? khu v?c h? t?ng tái ??nh c? d? án AFD t?i thôn Gia Ngãi 1 ??n sông Vách Nam, xã Th?ch Long;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
695;7810518;????ng giao thông khu du li?ch biê?n Lô?c Ha? ?oa?n t?? Ke? biê?n Xuân Ha?i ?ê?n ????ng Quô?c lô? Xuân Hô?i-Tha?ch Khê-Vu?ng A?ng;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
696;7897532;????ng giao thông nô?i vu?ng khu v??c trung tâm ha?nh chi?nh giai ?oa?n 4;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
697;7899640;Xây d??ng hê? thô?ng kênh m??ng t???i, tiêu xa? Hô?ng Lôc;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
698;7966756;Xây d?ng c?ng vành ?ai C? Ng?a, xã Th?ch M?;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
699;8065169;Xây d?ng Kênh tiêu úng liên xã Bình An - Phù L?u;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
700;8076990;Xây d?ng nhà 03 t?ng, 14 phòng và các h?ng m?c ph? tr? Tr??ng Ti?u h?c Th?nh L?c;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
701;8076991;Xây d?ng nhà h?c 03 t?ng 11 phòng Tr??ng THCS M? Châu;Phú;3;H;Th?ch Hà;2140;9;;;;;;;;;;;
702;8078747;Kh?c ph?c s?a ch?a ??p Cây S?n xã Gia Ph?;Quân;3;T;H??ng Khê;2140;9;;;;;;;;;;;
703;8080498;???ng GTNT thôn 5 ?i thôn 6, 7 xã H??ng Th?y;Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
704;8026953;Nhà b? môn 2 t?ng 6 phòng Tr??ng Ti?u h?c H??ng Trà ;Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
705;8080484;Trung tâm giáo d?c ngh? nghi?p - giáo d?c th??ng xuyên (h?ng m?c xây d?ng hàng rào, s?a ch?a nhà b?o v?, xây d?ng khu v?c sau kh?i nhà h?c 3 t?ng);Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
706;8080499;???ng GTNT xã H??ng V?nh (???ng tr?c xã HV01);Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
707;8026959;???ng GTNT Hà Linh;Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
708;7999331;???ng GTNT xóm 6 Hà Linh;Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
709;8025717;Kh?i ph?c v? h?c t?p 02 t?ng 06 phòng tr??ng THCS Ph??ng ?i?n;Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
710;7999329;???ng giao thông huy?n l? 10 (?H.95) ?o?n qua xã Hà Linh;Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
711;8018892;???ng GTNT ?i?n M?;Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
712;7896622;Nhà hành chính qu?n tr? 2 t?ng Tr??ng THCS Phúc Tr?ch;Quân;3;H;H??ng Khê;2140;9;;;;;;;;;;;
713;7899079;Quy ho?ch chung xây d?ng th? tr?n Th?ch Hà, huy?n Th?ch Hà, t?nh Hà T?nh ??n n?m 2035, t? l? 1/5.000;Phú;3;H;Th?ch Hà;2977;9;;;;;;;;;;;
714;8018464;Quy ho?ch chung th? tr?n L?c Hà và vùng ph? c?n ??n n?m 2035, t?m nhìn ??n n?m 2050, t? l? 1/5.000;Phú;3;H;Th?ch Hà;2977;5;;;;;;;;;;;
715;7955256;C?u ph?c v? dân sinh, s?n xu?t mu?i và nuôi tr?ng th?y s?n t?i thôn V?nh S?n, xã ??nh Bàn;Phú;3;H;Th?ch Hà;3026;9;;;;;;;;;;;
716;7043149;D? án nâng c?p ???ng giao thông liên xã Huy?n L?c Hà;Phú;3;T;Th?ch Hà;2578;10;;;;;;;;;;;
717;7305121;D? án Tr?m b?m chính và kênh d?n n??c ng?t ph?c v? s?n xu?t nông nghi?p và nuôi tr?ng th?y s?n t?i các xã Th?ch M?, H? ?? và Mai Ph?, huy?n L?c Hà;Phú;3;H;Th?ch Hà;2140;10;;;;;;;;;;;
718;7292327;D? án S?a ch?a nâng c?p kênh d?n, tr?m b?m ??u C?u xã H?ng L?c, huy?n L?c Hà;Phú;3;H;Th?ch Hà;2140;10;;;;;;;;;;;
719;7268232;D? án ??u t? xây d?ng công trình Ngh?a trang Li?t s? huy?n L?c Hà;Phú;3;H;Th?ch Hà;2140;10;;;;;;;;;;;
720;7937654;Quy ho?ch chung xây d?ng th? tr?n ??c Th? và vùng ph? c?n ??n n?m 2035, t? l? 1/5000;Huân;1;H;??c Th?;3455;10;;;;;;;;;;;
721;8040453;?i?u ch?nh quy ho?ch xây d?ng vùng huy?n ??c Th? ??n n?m 2035, t?m nhìn ??n 2050;Huân;1;H;??c Th?;3455;10;;;;;;;;;;;
722;7926548;L?p k? ho?ch s? d?ng ??t n?m 2021 - 2030 huy?n V? Quang;Thu?n;1;H;V? Quang;3455;10;;;;;;;;;;;
723;ch?a m? mã;?i?u ch?nh Quy ho?ch xây d?ng vùng huy?n Can L?c ??n n?m 2035, t?m nhìn 2050;H??ng;2;#N/A;Can L?c;2977;10;;;;;;;;;;;
724;7902785;?i?u ch?nh quy ho?ch chung xây d?ng th? tr?n C?m Xuyên và vùng ph? c?n ??n n?m 2035;Nam;2;H;C?m Xuyên;3455;10;;;;;;;;;;;
725;8073451;?ng d?ng công nghê thông tin, chuy?n ??i s? t?i UBND huy?n C?m Xuyên;Nam;2;H;C?m Xuyên;3455;10;;;;;;;;;;;
726;8152306;Quy ho?ch chi ti?t xây d?ng khu dân c? và th??ng m?i d?ch v? xã C?m Nh??ng, t? l? 1/500;Nam;2;H;C?m Xuyên;3455;10;;;;;;;;;;;
727;8153850;Quy ho?ch chi ti?t xây d?ng khu dân c? và th??ng m?i d?ch v? xã C?m Quang, huy?n C?m Xuyên, t? l? 1/500;Nam;2;H;C?m Xuyên;3455;10;;;;;;;;;;;
728;7895893;Xây d?ng ph?n m?m thành ph?n, b? sung trang thi?t b? ph?c v? c?ng ?i?u hành n?i b? trên ??a bàn huy?n;Phú;3;H;Th?ch Hà;3455;10;;;;;;;;;;;
729;7425690;S?a ch?a, nâng c?p h? th?ng th?y l?i Khe Con - H? Võ, xã H??ng Giang, huy?n H??ng Khê, t?nh Hà T?nh;Quân;3;H;H??ng Khê;3455;10;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;7892986;?i?u ch?nh quy ho?ch chi ti?t xây d?ng công viên v?n hóa Lý T? Tr?ng, huy?n Th?ch Hà, t? l? 1/500;;0;;Th?ch Hà;Ch?a chuy?n C?T v? Ban;;;;;;;;;;;;
;7702138;Nâng c?p, m? r?ng ???ng giao thông liên xã ph?c v? dân sinh, s?n xu?t, ch?n nuôi t?p trung xã Th?ch V?nh và tuy?n liên xã LX 05, huy?n Th?ch Hà;;0;;Th?ch Hà;Ch?a chuy?n C?T v? Ban;;;;;;;;;;;;
;8053443;Nâng c?p, c?i t?o tr? s? làm vi?c C? quan Huy?n U?, C? quan UBND huy?n và Trung tâm ?ng d?ng khoa h?c k? thu?t & b?o v? cây tr?ng v?t nuôi huy?n;;0;;H??ng Khê;2966/UB xã H??ng Khê;;;;;;;;;;;;
;8158232;C?i t?o, s?a ch?a nhà h?c 02 t?ng 04 phòng và các h?ng m?c ph? tr? Tr??ng m?m non Phù Vi?t;;0;;Th?ch Hà;2701/UB xã;;;;;;;;;;;;
;8158231;C?i t?o, s?a ch?a sân tr??ng và các h?ng m?c ph? tr? Tr??ng Ti?u h?c Th?ch Kênh;;0;;Th?ch Hà;2701/UB xã;;;;;;;;;;;;
;8158230;Cái t?o, s?a ch?a nhà h?c 02 t?ng 06 phòng, khu v? sinh và các h?ng m?c ph? tr? Tr??ng Ti?u h?c Th?ch Ng?c;;0;;Th?ch Hà;2701/UB xã;;;;;;;;;;;;
;8158229;C?i t?o, s?a ch?a nhà h?c, nhà v? sinh, sân tr??ng, h? th?ng thoát n??c, hàng rào Tr??ng Ti?u h?c Ng?c S?n;;0;;Th?ch Hà;2701/UB xã;;;;;;;;;;;;
;8158228;C?i t?o, s?a ch?a sân tr??ng, h? th?ng thoát n??c và các h?ng m?c ph? tr? Tr??ng Ti?u h?c Th?ch Xuân;;0;;Th?ch Hà;2701/UB xã;;;;;;;;;;;;
;8158227;C?i t?o, s?a ch?a nhà h?c 02 t?ng 08 phòng và các h?ng m?c ph? tr? Tr??ng Ti?u h?c Th?ch Long;;0;;Th?ch Hà;2701/UB xã;;;;;;;;;;;;
;8158226;C?i t?o, s?a ch?a nhà h?c, nhà b? môn, nhà hi?u b? và các h?ng m?c ph? tr? Tr??ng THCS Phan Huy Chú;;0;;Th?ch Hà;2701/UB xã;;;;;;;;;;;;
;8158225;C?i t?o, s?a ch?a hàng rào, mái che, sân và các h?ng m?c ph? tr? Tr??ng Ti?u h?c Nam ?i?n;;0;;Th?ch Hà;2701/UB xã;;;;;;;;;;;;
;8158224;C?i t?o, s?a ch?a các nhà h?c, khu v? sinh và các h?ng m?c ph? tr? Tr??ng M?m non Nam ?i?n;;0;;Th?ch Hà;2701/UB xã;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
